Region,Nationality,Year,Total Expense
ASEAN,Brunei,2017, 904.77 
ASEAN,Cambodia,2017," 31,205.17 "
ASEAN,Indonesia,2017," 18,489.23 "
ASEAN,Laos,2017," 50,135.28 "
ASEAN,Malaysia,2017," 95,410.08 "
ASEAN,Myanmar,2017," 16,462.05 "
ASEAN,Philippines,2017," 13,301.43 "
ASEAN,Singapore,2017," 43,482.36 "
ASEAN,Vietnam,2017," 29,654.77 "
East Asia,China,2017," 520,722.39 "
East Asia,Hong Kong,2017," 32,917.30 "
East Asia,Japan,2017," 66,679.99 "
East Asia,South Korea,2017," 75,506.73 "
East Asia,Taiwan,2017," 24,936.34 "
East Asia,Other East Asia,2017," 4,430.80 "
South Asia,Bangladesh,2017," 6,563.07 "
South Asia,India,2017," 54,739.05 "
South Asia,Nepal,2017," 2,294.39 "
South Asia,Pakistan,2017," 4,390.67 "
South Asia,Sri  Lanka,2017," 2,779.52 "
South Asia,Other South Asia,2017," 2,533.18 "
Oceania,Australia,2017," 65,776.41 "
Oceania,New  Zealand,2017," 7,541.65 "
Oceania,Other Oceania,2017, 590.25 
Middle East,Egypt,2017," 1,516.78 "
Middle East,Kuwait,2017," 8,366.26 "
Middle East,Saudi  Arabia,2017," 3,893.40 "
Middle East,U.A.E.,2017," 15,090.23 "
Middle East,Other Middle East,2017," 27,260.42 "
North Europe,Denmark,2017," 13,695.14 "
North Europe,Finland,2017," 12,114.18 "
North Europe,Norway,2017," 11,212.93 "
North Europe,Sweden,2017," 27,642.23 "
North Europe,United  Kingdom,2017," 73,992.49 "
West Europe,Austria,2017," 7,983.12 "
West Europe,Belgium,2017," 7,679.13 "
West Europe,France,2017," 45,510.24 "
West Europe,Germany,2017," 53,225.05 "
West Europe,Netherlands,2017," 15,770.22 "
West Europe,Switzerland,2017," 17,702.60 "
Central/East Europe,Russia,2017," 102,657.51 "
Middle East,Israel,2017," 16,612.55 "
South/Medit Europe,Italy,2017," 15,849.25 "
South/Medit Europe,Spain,2017," 11,547.32 "
Europe,East  Europe,2017," 29,866.87 "
Europe,Other Europe,2017," 17,154.71 "
America,Canada,2017," 18,350.43 "
America,USA,2017," 74,307.22 "
America,Argentina,2017," 4,624.48 "
America,Brazil,2017," 5,609.38 "
America,Other America,2017," 6,212.60 "
Africa,South Africa,2017," 6,820.22 "
Africa,Other Afirca,2017," 7,391.15 "
ASEAN,Brunei,2018, 845.23 
ASEAN,Cambodia,2018," 36,712.66 "
ASEAN,Indonesia,2018," 17,368.72 "
ASEAN,Laos,2018," 50,339.81 "
ASEAN,Malaysia,2018," 104,525.81 "
ASEAN,Myanmar,2018," 15,234.09 "
ASEAN,Philippines,2018," 16,583.04 "
ASEAN,Singapore,2018," 42,146.13 "
ASEAN,Vietnam,2018," 35,061.42 "
East Asia,China,2018," 522,264.78 "
East Asia,Hong Kong,2018," 40,265.44 "
East Asia,Japan,2018," 80,420.36 "
East Asia,South Korea,2018," 71,158.50 "
East Asia,Taiwan,2018," 30,953.75 "
East Asia,Other East Asia,2018," 5,092.13 "
South Asia,Bangladesh,2018," 6,486.27 "
South Asia,India,2018," 66,723.28 "
South Asia,Nepal,2018," 3,065.27 "
South Asia,Pakistan,2018," 4,798.79 "
South Asia,Sri  Lanka,2018," 2,779.91 "
South Asia,Other South Asia,2018," 3,204.54 "
Oceania,Australia,2018," 60,256.29 "
Oceania,New  Zealand,2018," 6,735.95 "
Oceania,Other Oceania,2018, 520.40 
Middle East,Egypt,2018," 1,448.92 "
Middle East,Kuwait,2018," 7,375.19 "
Middle East,Saudi  Arabia,2018," 3,261.73 "
Middle East,U.A.E.,2018," 11,400.73 "
Middle East,Other Middle East,2018," 21,526.97 "
North Europe,Denmark,2018," 15,221.72 "
North Europe,Finland,2018," 10,969.54 "
North Europe,Norway,2018," 11,641.46 "
North Europe,Sweden,2018," 27,002.46 "
North Europe,United  Kingdom,2018," 72,458.57 "
West Europe,Austria,2018," 8,694.47 "
West Europe,Belgium,2018," 7,715.63 "
West Europe,France,2018," 44,595.81 "
West Europe,Germany,2018," 54,449.95 "
West Europe,Netherlands,2018," 16,110.33 "
West Europe,Switzerland,2018," 17,198.72 "
Central/East Europe,Russia,2018," 105,028.29 "
Middle East,Israel,2018," 16,781.90 "
South/Medit Europe,Italy,2018," 16,487.93 "
South/Medit Europe,Spain,2018," 10,999.31 "
Europe,East Europe,2018," 30,935.49 "
Europe,Other Europe,2018," 15,576.55 "
America,Canada,2018," 19,291.67 "
America,USA,2018," 79,070.59 "
America,Argentina,2018," 2,910.84 "
America,Brazil,2018," 4,104.53 "
America,Other America,2018," 5,868.58 "
Africa,South Africa,2018," 6,512.09 "
Africa,Other Afirca,2018," 7,954.36 "
ASEAN,Brunei,2019, 945.13 
ASEAN,Cambodia,2019," 39,277.88 "
ASEAN,Indonesia,2019," 18,333.62 "
ASEAN,Laos,2019," 58,035.54 "
ASEAN,Malaysia,2019," 107,457.97 "
ASEAN,Myanmar,2019," 15,106.83 "
ASEAN,Philippines,2019," 19,820.08 "
ASEAN,Singapore,2019," 43,678.41 "
ASEAN,Vietnam,2019," 39,715.18 "
East Asia,China,2019," 531,576.65 "
East Asia,Hong Kong,2019," 42,973.72 "
East Asia,Japan,2019," 93,758.84 "
East Asia,South Korea,2019," 75,435.78 "
East Asia,Taiwan,2019," 33,535.47 "
East Asia,Other East Asia,2019," 5,572.39 "
South Asia,Bangladesh,2019," 6,730.08 "
South Asia,India,2019," 80,039.88 "
South Asia,Nepal,2019," 2,969.18 "
South Asia,Pakistan,2019," 4,418.12 "
South Asia,Sri  Lanka,2019," 2,814.05 "
South Asia,Other South Asia,2019," 3,196.85 "
Oceania,Australia,2019," 55,402.66 "
Oceania,New Zealand,2019," 5,976.15 "
Oceania,Other Oceania,2019, 519.85 
Middle East,Egypt,2019," 1,482.11 "
Middle East,Israel,2019," 16,090.66 "
Middle East,Kuwait,2019," 7,675.40 "
Middle East,Saudi  Arabia,2019," 3,220.15 "
Middle East,U.A.E.,2019," 11,077.15 "
Middle East,Other Middle East,2019," 17,835.72 "
North Europe,Denmark,2019," 13,784.14 "
North Europe,Finland,2019," 9,858.37 "
North Europe,Norway,2019," 11,970.93 "
North Europe,Sweden,2019," 23,771.56 "
North Europe,United Kingdom,2019," 72,318.73 "
West Europe,Austria,2019," 7,873.28 "
West Europe,Belgium,2019," 7,312.50 "
West Europe,France,2019," 42,827.24 "
West Europe,Germany,2019," 52,169.50 "
West Europe,Netherlands,2019," 16,291.98 "
West Europe,Switzerland,2019," 15,877.93 "
Central/East Europe,Russia,2019," 102,895.03 "
South/Medit Europe,Italy,2019," 14,776.71 "
South/Medit Europe,Spain,2019," 11,181.50 "
Europe,East Europe,2019," 32,008.29 "
Europe,Other Europe,2019," 13,826.12 "
America,Canada,2019," 17,636.96 "
America,USA,2019," 76,819.24 "
America,Argentina,2019," 1,799.19 "
America,Brazil,2019," 3,679.45 "
America,Other America,2019," 5,153.15 "
Africa,South Africa,2019," 5,730.55 "
Africa,Other Afirca,2019," 7,574.10 "
ASEAN,Brunei,2020, 167.04 
ASEAN,Cambodia,2020," 10,023.97 "
ASEAN,Indonesia,2020," 2,644.01 "
ASEAN,Laos,2020," 13,435.61 "
ASEAN,Malaysia,2020," 17,492.99 "
ASEAN,Myanmar,2020," 2,630.88 "
ASEAN,Philippines,2020," 5,870.39 "
ASEAN,Singapore,2020," 4,442.34 "
ASEAN,Vietnam,2020," 6,468.89 "
East Asia,China,2020," 69,719.61 "
East Asia,Hong Kong,2020," 5,578.62 "
East Asia,Japan,2020," 15,044.15 "
East Asia,South Korea,2020," 13,131.73 "
East Asia,Taiwan,2020," 5,411.47 "
East Asia,Other East Asia,2020," 1,323.67 "
South Asia,Bangladesh,2020," 1,698.14 "
South Asia,India,2020," 9,744.33 "
South Asia,Nepal,2020, 566.01 
South Asia,Pakistan,2020, 805.31 
South Asia,Sri Lanka,2020, 458.07 
South Asia,Other South Asia,2020, 704.79 
Oceania,Australia,2020," 6,347.58 "
Oceania,New Zealand,2020," 1,122.13 "
Oceania,Other Oceania,2020, 46.56 
Middle East,Egypt,2020, 290.94 
Middle East,Kuwait,2020," 1,909.63 "
Middle East,Saudi Arabia,2020, 637.85 
Middle East,U.A.E.,2020," 1,053.82 "
Middle East,Other Middle East,2020," 2,151.09 "
North Europe,Denmark,2020," 5,631.20 "
North Europe,Finland,2020," 5,021.13 "
North Europe,Norway,2020," 3,959.64 "
North Europe,Sweden,2020," 7,274.18 "
North Europe,United Kingdom,2020," 15,478.36 "
West Europe,Austria,2020," 2,410.53 "
West Europe,Belgium,2020," 2,380.40 "
West Europe,France,2020," 14,764.92 "
West Europe,Germany,2020," 12,859.52 "
West Europe,Netherlands,2020," 3,890.95 "
West Europe,Switzerland,2020," 4,585.35 "
Central/East Europe,Russia,2020," 34,612.77 "
Middle East,Israel,2020," 1,973.47 "
South/Medit Europe,Italy,2020," 3,817.66 "
South/Medit Europe,Spain,2020," 1,668.06 "
Europe,East Europe,2020," 10,863.41 "
Europe,Other Europe,2020," 3,308.08 "
America,Canada,2020," 3,265.49 "
America,USA,2020," 11,973.44 "
America,Argentina,2020, 645.85 
America,Brazil,2020, 999.02 
America,Other America,2020, 911.43 
Africa,South Africa,2020, 900.69 
Africa,Other Afirca,2020," 1,250.26 "
ASEAN,Brunei,2021, 10.45 
ASEAN,Cambodia,2021, 929.78 
ASEAN,Indonesia,2021, 904.26 
ASEAN,Laos,2021, 205.37 
ASEAN,Malaysia,2021, 976.93 
ASEAN,Myanmar,2021," 1,732.03 "
ASEAN,Philippines,2021," 1,813.04 "
ASEAN,Singapore,2021, 738.30 
ASEAN,Vietnam,2021, 571.37 
East Asia,China,2021," 9,162.82 "
East Asia,Hong Kong,2021, 520.13 
East Asia,Japan,2021," 8,880.51 "
East Asia,South Korea,2021," 3,635.69 "
East Asia,Taiwan,2021," 1,018.78 "
East Asia,Other East Asia,2021, 214.72 
South Asia,Bangladesh,2021, 558.38 
South Asia,India,2021," 2,855.44 "
South Asia,Nepal,2021, 213.06 
South Asia,Pakistan,2021, 367.07 
South Asia,Sri Lanka,2021, 142.81 
South Asia,Other South Asia,2021, 423.75 
Oceania,Australia,2021," 2,218.92 "
Oceania,New Zealand,2021, 353.32 
Oceania,Other Oceania,2021, 55.53 
Middle East,Egypt,2021, 85.90 
Middle East,Kuwait,2021, 591.94 
Middle East,Saudi Arabia,2021, 70.14 
Middle East,U.A.E.,2021, 370.16 
