Region,Nationality,Year,Number,,
ASEAN,Brunei,2017,"18,249",,
ASEAN,Cambodia,2017,"851,879",,
ASEAN,Indonesia,2017,"594,060",,
ASEAN,Laos,2017,"1,692,866",,
ASEAN,Malaysia,2017,"3,493,112",,
ASEAN,Myanmar,2017,"387,722",,
ASEAN,Philippines,2017,"361,218",,
ASEAN,Singapore,2017,"1,259,523",,
ASEAN,Vietnam,2017,"985,695",,
East Asia,China,2017,"9,846,818",,
East Asia,Hong Kong,2017,"798,460",,
East Asia,Japan,2017,"1,525,707",,
East Asia,North Korea,2017,,,
East Asia,South Korea,2017,"1,698,608",,
East Asia,Macao,2017,,,
East Asia,Mongolia,2017,,,
East Asia,Taiwan,2017,"560,441",,
East Asia,Other East Asia,2017,"91,918",,
South Asia,Bangladesh,2017,"125,580",,
South Asia,Bhutan,2017,,,
South Asia,India,2017,"1,281,681",,
South Asia,Iran,2017,,,
South Asia,Maldives,2017,,,
South Asia,Nepal,2017,"43,782",,
South Asia,Pakistan,2017,"76,784",,
South Asia,Sri  Lanka,2017,"63,386",,
South Asia,Other South Asia,2017,"48,315",,
Asia,Other in Asia,2017,,,
Oceania,Australia,2017,"837,485",,
Oceania,New  Zealand,2017,"102,328",,
Oceania,Other Oceania,2017,"7,964",,
Middle East,Bahrain,2017,,,
Middle East,Egypt,2017,"19,730",,
Middle East,Iraq,2017,,,
Middle East,Jordan,2017,,,
Middle East,Kuwait,2017,"80,895",,
Middle East,Lebanon,2017,,,
Middle East,Oman,2017,,,
Middle East,Qatar,2017,,,
Middle East,Saudi  Arabia,2017,"42,610",,
Middle East,U.A.E.,2017,"199,475",,
Middle East,Yemen,2017,,,
Middle East,Other Middle East,2017,"357,518",,
North Europe,Denmark,2017,"157,923",,
North Europe,Finland,2017,"138,926",,
North Europe,Iceland,2017,,,
North Europe,Ireland,2017,,,
North Europe,Norway,2017,"130,200",,
North Europe,Sweden,2017,"317,797",,
North Europe,United  Kingdom,2017,"945,061",,
West Europe,Austria,2017,"104,220",,
West Europe,Belgium,2017,"112,635",,
West Europe,France,2017,"693,426",,
West Europe,Germany,2017,"837,318",,
West Europe,Luxembourg,2017,,,
West Europe,Netherlands,2017,"215,433",,
West Europe,Switzerland,2017,"227,152",,
Central/East Europe,Belarus,2017,,,
Central/East Europe,Bulgaria,2017,,,
Central/East Europe,Czech Republic,2017,,,
Central/East Europe,Estonia,2017,,,
Central/East Europe,Hungary,2017,,,
Central/East Europe,Kazakhstan,2017,,,
Central/East Europe,Kyrgyzstan,2017,,,
Central/East Europe,Latvia,2017,,,
Central/East Europe,Lithuania,2017,,,
Central/East Europe,Poland,2017,,,
Central/East Europe,Romania,2017,,,
Central/East Europe,Russia,2017,"1,340,376",,
Central/East Europe,Slovakia,2017,,,
Central/East Europe,Ukraine,2017,,,
Central/East Europe,Uzbekistan,2017,,,
South/Medit Europe,Croatia,2017,,,
South/Medit Europe,Cyprus,2017,,,
South/Medit Europe,Greece,2017,,,
Middle East,Israel,2017,"174,815",,
South/Medit Europe,Italy,2017,"244,982",,
South/Medit Europe,Portugal,2017,,,
South/Medit Europe,Serbia,2017,,,
South/Medit Europe,Slovenia,2017,,,
South/Medit Europe,Spain,2017,"178,954",,
South/Medit Europe,Turkey,2017,,,
Europe,East  Europe,2017,"445,521",,
Europe,Other Europe,2017,"232,242",,
America,Canada,2017,"227,069",,
America,Mexico,2017,,,
America,USA,2017,"1,006,939",,
America,Argentina,2017,"62,738",,
America,Brazil,2017,"71,349",,
America,Chile,2017,,,
America,Colombia,2017,,,
America,Peru,2017,,,
America,Uruguay,2017,,,
America,Other America,2017,"80,799",,
Africa,Morocco,2017,,,
Africa,South Africa,2017,"91,182",,
Africa,Ethiopia,2017,,,
Africa,Kenya,2017,,,
Africa,Mauritius,2017,,,
Africa,Other Afirca,2017,"101,112",,
ASEAN,Brunei,2018,"18,460",,
ASEAN,Cambodia,2018,"950,980",,
ASEAN,Indonesia,2018,"644,479",,
ASEAN,Laos,2018,"1,682,304",,
ASEAN,Malaysia,2018,"4,042,998",,
ASEAN,Myanmar,2018,"379,880",,
ASEAN,Philippines,2018,"407,832",,
ASEAN,Singapore,2018,"1,168,112",,
ASEAN,Vietnam,2018,"1,053,723",,
East Asia,China,2018,"10,625,167",,
East Asia,Hong Kong,2018,"1,047,559",,
East Asia,Japan,2018,"1,642,712",,
East Asia,North Korea,2018,,,
